"Pk","Player","College","draft_year","athlete_id","team_id","athlete_position_name","athlete_headshot_href","team_location","team_logo","minutes","field_goals_made","field_goals_attempted","three_point_field_goals_made","three_point_field_goals_attempted","free_throws_made","free_throws_attempted","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","fouls","points","games"
1,"Andrew Bogut","Utah",2005,15490,254,"Center",NA,"Utah","https://a.espncdn.com/i/teamlogos/ncaa/500/254.png",36.38,8.29,13.79,0.38,0.96,3.67,5.71,4.12,8.62,12.75,2.12,0.83,1.54,2.96,2.46,20.62,24
2,"Marvin Williams","UNC",2005,22241,153,"Forward",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",22.32,3.47,7.03,0.56,1.29,3.71,4.35,1.76,4.76,6.53,0.74,1.06,0.44,1.53,2.62,11.21,34
3,"Deron Williams","Illinois",2005,10947,356,"Guard",NA,"Illinois","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png",34.22,4.49,10.57,1.65,4.7,1.7,2.49,0.32,3.38,3.7,6.89,0.95,0.19,2.89,2.05,12.32,37
4,"Chris Paul","Wake Forest",2005,15176,154,"Guard",NA,"Wake Forest","https://a.espncdn.com/i/teamlogos/ncaa/500/154.png",33.96,4.57,10.25,1.46,3.14,4.57,5.5,0.57,4,4.57,6.61,2.29,0.04,2.64,2.71,15.18,28
5,"Raymond Felton","UNC",2005,11868,153,"Guard",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",31.79,4.21,9.26,1.91,4.41,2.65,3.82,0.65,3.76,4.41,6.88,2.09,0.26,3.56,2.06,12.97,34
7,"Charlie Villanueva","UConn",2005,15342,41,"Forward",NA,"UConn","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png",26.62,5.38,10.1,0.21,0.41,3.24,4.72,2.66,5.83,8.48,1.34,0.66,1.9,2.24,2.28,14.21,29
8,"Channing Frye","Arizona",2005,4971,12,"Center",NA,"Arizona","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png",31.21,6.24,11.15,0.09,0.47,3.53,4.29,2.65,4.88,7.53,1.94,1,2.35,1.53,2.62,16.09,34
9,"Ike Diogu","Arizona State",2005,10956,9,"Forward/Center",NA,"Arizona State","https://a.espncdn.com/i/teamlogos/ncaa/500/9.png",36.44,7.15,12.67,0.56,1.44,7.52,9.3,3.78,6.07,9.85,1.33,0.48,2.41,3.56,3,22.37,27
13,"Sean May","UNC",2005,11871,153,"Forward/Center",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",26.89,6.09,10.89,0,0.09,5.14,6.8,3.91,7,10.91,1.66,1.17,1,2.54,2.43,17.31,35
14,"Rashad McCants","UNC",2005,11872,153,"Guard/Forward",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",26.23,5.68,11.55,2.19,5.06,2.9,4,0.87,2.19,3.06,2.71,1.29,0.65,1.94,2.35,16.45,31
15,"Antoine Wright","Texas A&M",2005,11269,245,"Guard/Forward",NA,"Texas A&M","https://a.espncdn.com/i/teamlogos/ncaa/500/245.png",35.04,6.19,12.41,2.33,5.19,3.04,4.52,1.37,4.22,5.59,2.3,1.11,0.78,2.41,2.52,17.74,27
16,"Joey Graham","Oklahoma State",2005,3421,197,"Forward",NA,"Oklahoma State","https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",30.62,6.03,11.41,0.76,1.69,4.52,5,1.38,4.69,6.07,2.07,1,0.17,2.69,3.24,17.34,29
