"Player","athlete_id","num_years_college","dpm"
"A.J. Price",22422,3,-0.57
"A.J. Price",22422,3,-1.16
"A.J. Price",22422,3,-1.8
"A.J. Price",22422,3,-2.18
"A.J. Price",22422,3,-2.32
"AJ Griffin",4432585,1,-1.02
"AJ Griffin",4432585,1,-2.02
"AJ Griffin",4432585,1,-5
"AJ Griffin",4432585,1,-5
"AJ Griffin",4432585,1,-5
"AJ Hammons",61274,4,-3.12
"AJ Hammons",61274,4,-2.26
"AJ Hammons",61274,4,-5
"AJ Hammons",61274,4,-5
"AJ Hammons",61274,4,-5
"Aaron Brooks",15304,4,-1.24
"Aaron Brooks",15304,4,-0.75
"Aaron Brooks",15304,4,-0.19
"Aaron Brooks",15304,4,-1.47
"Aaron Brooks",15304,4,-1.99
"Aaron Gordon",66320,1,-1.83
"Aaron Gordon",66320,1,0.84
"Aaron Gordon",66320,1,0.34
"Aaron Gordon",66320,1,0.51
"Aaron Gordon",66320,1,1.25
"Aaron Gray",15476,4,-1.01
"Aaron Gray",15476,4,-1.3
"Aaron Gray",15476,4,-0.24
"Aaron Gray",15476,4,-0.87
"Aaron Gray",15476,4,-2.27
"Aaron Holiday",3922230,3,-1.33
"Aaron Holiday",3922230,3,-1.13
"Aaron Holiday",3922230,3,-0.88
"Aaron Holiday",3922230,3,-0.45
"Aaron Holiday",3922230,3,0.29
"Aaron Nesmith",4396909,2,-2.25
"Aaron Nesmith",4396909,2,-1.25
"Aaron Nesmith",4396909,2,-1.25
"Aaron Nesmith",4396909,2,-0.08
"Aaron Nesmith",4396909,2,1.13
"Aaron White",56985,4,-1.14
"Aaron White",56985,4,-5
"Aaron White",56985,4,-5
"Aaron White",56985,4,-5
"Aaron White",56985,4,-5
"Aaron Wiggins",4397183,3,-1.87
"Aaron Wiggins",4397183,3,-0.96
"Aaron Wiggins",4397183,3,0.46
"Aaron Wiggins",4397183,3,1.85
"Aaron Wiggins",4397183,3,0.23
"Abdel Nader",57136,4,-2.8
"Abdel Nader",57136,4,-2.52
"Abdel Nader",57136,4,-1.77
"Abdel Nader",57136,4,-2.13
"Abdel Nader",57136,4,-2.7
"Ace Bailey",4873138,1,-2.34
"Ace Bailey",4873138,1,-5
"Ace Bailey",4873138,1,-5
"Ace Bailey",4873138,1,-5
"Ace Bailey",4873138,1,-5
"Acie Law",15169,4,-2.94
"Acie Law",15169,4,-1.76
"Acie Law",15169,4,-0.88
"Acie Law",15169,4,-1.74
"Acie Law",15169,4,-5
"Adam Haluska",11882,4,-2.56
"Adam Haluska",11882,4,-5
"Adam Haluska",11882,4,-5
"Adam Haluska",11882,4,-5
"Adam Haluska",11882,4,-5
"Adam Morrison",15399,3,-3.75
"Adam Morrison",15399,3,-3.59
"Adam Morrison",15399,3,-4.12
"Adam Morrison",15399,3,-3.85
"Adam Morrison",15399,3,-5
"Adem Bona",5105637,2,-0.82
"Adem Bona",5105637,2,-0.37
"Adem Bona",5105637,2,-5
"Adem Bona",5105637,2,-5
"Adem Bona",5105637,2,-5
"Admiral Schofield",3918423,4,-2.4
"Admiral Schofield",3918423,4,-3.05
"Admiral Schofield",3918423,4,-1.54
"Admiral Schofield",3918423,4,-2.07
"Admiral Schofield",3918423,4,-5
"Adou Thiero",5060631,3,-1.86
"Adou Thiero",5060631,3,-5
"Adou Thiero",5060631,3,-5
"Adou Thiero",5060631,3,-5
"Adou Thiero",5060631,3,-5
"Adreian Payne",51545,4,-3.8
"Adreian Payne",51545,4,-4.27
"Adreian Payne",51545,4,-2.8
"Adreian Payne",51545,4,-3.04
"Adreian Payne",51545,4,-5
"Ahmad Nivins",26901,4,-1.14
"Ahmad Nivins",26901,4,-5
"Ahmad Nivins",26901,4,-5
"Ahmad Nivins",26901,4,-5
"Ahmad Nivins",26901,4,-5
"Ajay Mitchell",4900671,3,-1.96
"Ajay Mitchell",4900671,3,0.84
"Ajay Mitchell",4900671,3,-5
"Ajay Mitchell",4900671,3,-5
"Ajay Mitchell",4900671,3,-5
"Al Horford",24424,3,-0.34
"Al Horford",24424,3,0.38
"Al Horford",24424,3,2.13
"Al Horford",24424,3,1.66
"Al Horford",24424,3,2.08
"Al Thornton",15564,4,-1.89
"Al Thornton",15564,4,-3.01
"Al Thornton",15564,4,-2.07
"Al Thornton",15564,4,-1.67
"Al Thornton",15564,4,-5
"Al-Farouq Aminu",41037,2,-0.79
"Al-Farouq Aminu",41037,2,0.16
"Al-Farouq Aminu",41037,2,1.41
"Al-Farouq Aminu",41037,2,0.07
"Al-Farouq Aminu",41037,2,2.29
"Alando Tucker",12288,4,-2.81
"Alando Tucker",12288,4,-2.61
"Alando Tucker",12288,4,-3.11
"Alando Tucker",12288,4,-5
"Alando Tucker",12288,4,-5
"Alec Brown",51135,4,-1.14
"Alec Brown",51135,4,-5
"Alec Brown",51135,4,-5
"Alec Brown",51135,4,-5
"Alec Brown",51135,4,-5
"Alec Burks",46086,2,-1.25
"Alec Burks",46086,2,-0.71
"Alec Burks",46086,2,-0.83
"Alec Burks",46086,2,-1.51
"Alec Burks",46086,2,-0.89
"Alec Peters",66821,4,-2.35
"Alec Peters",66821,4,-5
"Alec Peters",66821,4,-5
"Alec Peters",66821,4,-5
"Alec Peters",66821,4,-5
"Alex Acker",11674,3,-1.87
"Alex Acker",11674,3,-2.47
"Alex Acker",11674,3,-5
"Alex Acker",11674,3,-5
"Alex Acker",11674,3,-5
"Alex Len",57379,2,-2.98
"Alex Len",57379,2,-1.09
"Alex Len",57379,2,-2.48
"Alex Len",57379,2,-2.33
"Alex Len",57379,2,-1.02
"Alex Oriakhi",45946,4,-1.14
"Alex Oriakhi",45946,4,-5
"Alex Oriakhi",45946,4,-5
"Alex Oriakhi",45946,4,-5
"Alex Oriakhi",45946,4,-5
"Alexander Johnson",15567,3,-1.52
"Alexander Johnson",15567,3,-2.31
"Alexander Johnson",15567,3,-2.03
"Alexander Johnson",15567,3,-5
"Alexander Johnson",15567,3,-5
"Alijah Martin",4702656,5,-1.61
"Alijah Martin",4702656,5,-5
"Alijah Martin",4702656,5,-5
"Alijah Martin",4702656,5,-5
"Alijah Martin",4702656,5,-5
"Alize Johnson",4067045,3,-2.66
"Alize Johnson",4067045,3,-2.06
"Alize Johnson",4067045,3,-0.87
"Alize Johnson",4067045,3,-2.56
"Alize Johnson",4067045,3,-2.23
"Allen Crabbe",51022,3,-2.78
"Allen Crabbe",51022,3,-2.07
"Allen Crabbe",51022,3,-0.53
"Allen Crabbe",51022,3,-1.08
"Allen Crabbe",51022,3,-0.09
"Amari Bailey",5105638,1,-2.6
"Amari Bailey",5105638,1,-5
"Amari Bailey",5105638,1,-5
"Amari Bailey",5105638,1,-5
"Amari Bailey",5105638,1,-5
"Amari Williams",4702745,5,-2.81
"Amari Williams",4702745,5,-5
"Amari Williams",4702745,5,-5
"Amari Williams",4702745,5,-5
"Amari Williams",4702745,5,-5
"Andre Drummond",57279,1,0.34
"Andre Drummond",57279,1,0.46
"Andre Drummond",57279,1,0.31
"Andre Drummond",57279,1,0.34
"Andre Drummond",57279,1,-0.57
"Andre Emmett",1012,4,-2.53
"Andre Emmett",1012,4,-1.15
"Andre Emmett",1012,4,-5
"Andre Emmett",1012,4,-5
"Andre Emmett",1012,4,-5
"Andre Jackson Jr.",4432190,3,-1.92
"Andre Jackson Jr.",4432190,3,-2.87
"Andre Jackson Jr.",4432190,3,-1.64
"Andre Jackson Jr.",4432190,3,-5
"Andre Jackson Jr.",4432190,3,-5
"Andre Roberson",51029,3,-0.45
"Andre Roberson",51029,3,0.28
"Andre Roberson",51029,3,1.2
"Andre Roberson",51029,3,1.83
"Andre Roberson",51029,3,2.5
"Andrew Bogut",15490,2,-0.26
"Andrew Bogut",15490,2,0.55
"Andrew Bogut",15490,2,-0.28
"Andrew Bogut",15490,2,0.61
"Andrew Bogut",15490,2,2.63
"Andrew Goudelock",36889,4,-2.66
"Andrew Goudelock",36889,4,-3.05
"Andrew Goudelock",36889,4,-2.37
"Andrew Goudelock",36889,4,-5
"Andrew Goudelock",36889,4,-5
"Andrew Harrison",66615,2,-0.97
"Andrew Harrison",66615,2,-1.25
"Andrew Harrison",66615,2,-1.37
"Andrew Harrison",66615,2,-5
"Andrew Harrison",66615,2,-5
"Andrew Nembhard",4395712,4,-2.53
"Andrew Nembhard",4395712,4,-1.25
"Andrew Nembhard",4395712,4,0.12
"Andrew Nembhard",4395712,4,-0.32
"Andrew Nembhard",4395712,4,-5
"Andrew Nicholson",41510,4,-2.2
"Andrew Nicholson",41510,4,-2.46
"Andrew Nicholson",41510,4,-2.62
"Andrew Nicholson",41510,4,-0.72
"Andrew Nicholson",41510,4,-2.74
"Andrew Wiggins",67429,1,-1.42
"Andrew Wiggins",67429,1,-0.5
"Andrew Wiggins",67429,1,-0.13
"Andrew Wiggins",67429,1,-0.79
"Andrew Wiggins",67429,1,-1.22
"Andy Rautins",27189,4,-1.89
"Andy Rautins",27189,4,-5
"Andy Rautins",27189,4,-5
"Andy Rautins",27189,4,-5
"Andy Rautins",27189,4,-5
"Anthony Bennett",61902,1,-2.83
"Anthony Bennett",61902,1,-2.74
"Anthony Bennett",61902,1,-2.29
"Anthony Bennett",61902,1,-1.17
"Anthony Bennett",61902,1,-5
"Anthony Black",4712849,1,-1.33
"Anthony Black",4712849,1,-0.48
"Anthony Black",4712849,1,0.25
"Anthony Black",4712849,1,-5
"Anthony Black",4712849,1,-5
"Anthony Brown",51361,5,-0.94
"Anthony Brown",51361,5,-1.84
"Anthony Brown",51361,5,-0.82
"Anthony Brown",3159994,2,-0.94
"Anthony Brown",3159994,2,-1.84
"Anthony Brown",3159994,2,-0.82
"Anthony Davis",56353,1,1.15
"Anthony Davis",56353,1,2.11
"Anthony Davis",56353,1,4.21
"Anthony Davis",56353,1,2.31
"Anthony Davis",56353,1,3.04
"Anthony Edwards",4594268,1,0.64
"Anthony Edwards",4594268,1,2.23
"Anthony Edwards",4594268,1,3.15
"Anthony Edwards",4594268,1,3.62
"Anthony Edwards",4594268,1,4.29
"Anthony Randolph",36181,1,-0.95
"Anthony Randolph",36181,1,-1.09
"Anthony Randolph",36181,1,-1.39
"Anthony Randolph",36181,1,-1.14
"Anthony Randolph",36181,1,-1.1
"Antoine Wright",11269,3,-3.58
"Antoine Wright",11269,3,-2.7
"Antoine Wright",11269,3,-2.77
"Antoine Wright",11269,3,-0.39
"Antoine Wright",11269,3,-1.06
"Anton Watson",4431705,5,-2.75
"Anton Watson",4431705,5,-2.62
"Anton Watson",4431705,5,-5
"Anton Watson",4431705,5,-5
"Anton Watson",4431705,5,-5
"Antonio Reeves",4592686,5,-1.78
"Antonio Reeves",4592686,5,-1.04
"Antonio Reeves",4592686,5,-5
"Antonio Reeves",4592686,5,-5
"Antonio Reeves",4592686,5,-5
"Archie Goodwin",61841,1,-2.34
"Archie Goodwin",61841,1,-1.88
"Archie Goodwin",61841,1,-2.37
"Archie Goodwin",61841,1,-2.21
"Archie Goodwin",61841,1,-5
"Armon Johnson",36326,3,-3.05
"Armon Johnson",36326,3,-3.15
"Armon Johnson",36326,3,-5
"Armon Johnson",36326,3,-5
"Armon Johnson",36326,3,-5
"Arnett Moultrie",41183,3,-0.7
"Arnett Moultrie",41183,3,-1.67
"Arnett Moultrie",41183,3,-5
"Arnett Moultrie",41183,3,-5
"Arnett Moultrie",41183,3,-5
"Arron Afflalo",22163,3,-1.47
"Arron Afflalo",22163,3,-1.54
"Arron Afflalo",22163,3,-0.61
"Arron Afflalo",22163,3,0.1
"Arron Afflalo",22163,3,-0.58
"Arsalan Kazemi",45677,4,-1.14
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Asa Newell",4873201,1,-0.59
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Austin Daye",36390,2,-1.2
"Austin Daye",36390,2,-1.06
"Austin Daye",36390,2,-2.6
"Austin Daye",36390,2,-1.92
"Austin Daye",36390,2,-1.79
"Austin Rivers",56112,1,-1.77
"Austin Rivers",56112,1,-1.54
"Austin Rivers",56112,1,-2.5
"Austin Rivers",56112,1,-2.53
"Austin Rivers",56112,1,-1.8
"Avery Bradley",46196,1,-2.63
"Avery Bradley",46196,1,-0.43
"Avery Bradley",46196,1,-1.12
"Avery Bradley",46196,1,-0.68
"Avery Bradley",46196,1,-0.28
"Ayo Dosunmu",4397002,3,-1.94
"Ayo Dosunmu",4397002,3,-1.74
"Ayo Dosunmu",4397002,3,-1.07
"Ayo Dosunmu",4397002,3,-1.41
"Ayo Dosunmu",4397002,3,-0.4
"Balsa Koprivica",4432829,2,-1.14
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Bam Adebayo",4066261,1,-1.47
"Bam Adebayo",4066261,1,1.11
"Bam Adebayo",4066261,1,1.93
"Bam Adebayo",4066261,1,1.98
"Bam Adebayo",4066261,1,3.06
"Baylor Scheierman",4593841,5,-0.92
"Baylor Scheierman",4593841,5,-0.33
"Baylor Scheierman",4593841,5,-5
"Baylor Scheierman",4593841,5,-5
"Baylor Scheierman",4593841,5,-5
"Ben Bentil",3136469,2,-3.13
"Ben Bentil",3136469,2,-5
"Ben Bentil",3136469,2,-5
"Ben Bentil",3136469,2,-5
