"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"A.J. Price","UConn",2009,52,22422,"UConn",3,11.418,7.542,11.093,NA,-10,NA,NA,NA,NA
"AJ Griffin","Duke",2022,16,4432585,"Duke",1,6.331,NA,NA,NA,-1.02,-2.02,NA,NA,NA
"AJ Hammons","Purdue",2016,46,61274,"Purdue",4,4.968,5.828,7.798,10.152,-3.12,-2.26,NA,NA,NA
"Aaron Gordon","Arizona",2014,4,66320,"Arizona",1,9.507,NA,NA,NA,-1.83,0.84,0.34,0.51,1.25
"Aaron Holiday","UCLA",2018,23,3922230,"UCLA",3,2.694,10.435,15.508,NA,-1.33,-1.13,-0.88,-0.45,0.29
"Aaron Nesmith","Vanderbilt",2020,14,4396909,"Vanderbilt",2,5.326,9.65,NA,NA,-2.25,-1.25,-1.25,-0.08,1.13
"Aaron White","Iowa",2015,49,56985,"Iowa",4,6.24,8.351,9.329,16.439,-10,NA,NA,NA,NA
"Aaron Wiggins","Maryland",2021,55,4397183,"Maryland",3,4.772,4.913,10.799,NA,-1.87,-0.96,0.46,1.85,0.23
"Abdel Nader","Iowa State",2016,58,57136,"Iowa State",4,3.411,5.109,11.093,13.329,-2.8,-2.52,-1.77,-2.13,-2.7
"Ace Bailey","Rutgers",2025,5,4873138,"Rutgers",1,8.829,NA,NA,NA,-2.34,NA,NA,NA,NA
"Adem Bona","UCLA",2024,41,5105637,"UCLA",2,4.37,8.498,NA,NA,-0.82,-0.37,NA,NA,NA
"Admiral Schofield","Tennessee",2019,42,3918423,"Tennessee",4,3.423,6.945,9.398,9.799,-2.4,-3.05,-1.54,-2.07,NA
"Adou Thiero","Arkansas",2025,36,5060631,"Arkansas",3,10.617,9.65,11.093,NA,-1.86,NA,NA,NA,NA
"Adreian Payne","Michigan State",2014,15,51545,"Michigan State",4,4.617,6.698,11.788,13.329,-3.8,-4.27,-2.8,-3.04,NA
"Ahmad Nivins","Saint Joseph's",2009,56,26901,"Saint Joseph's",4,9.038,15.61,11.093,13.329,-10,NA,NA,NA,NA
"Ajay Mitchell","UC Santa Barbara",2024,38,4900671,"UC Santa Barbara",3,6.618,12.483,13.32,NA,-1.96,0.84,NA,NA,NA
"Al-Farouq Aminu","Wake Forest",2010,8,41037,"Wake Forest",2,5.184,9.816,NA,NA,-0.79,0.16,1.41,0.07,2.29
"Alec Brown","Green Bay",2014,50,51135,"Green Bay",4,3.784,7.757,5.434,9.12,-10,NA,NA,NA,NA
"Alec Burks","Colorado",2011,12,46086,"Colorado",2,11.469,13.9,NA,NA,-1.25,-0.71,-0.83,-1.51,-0.89
"Alec Peters","Valparaiso",2017,54,66821,"Valparaiso",4,6.557,13.532,16.132,23.063,-2.35,NA,NA,NA,NA
"Alex Len","Maryland",2013,5,57379,"Maryland",2,2.737,6.827,NA,NA,-2.98,-1.09,-2.48,-2.33,-1.02
"Alex Oriakhi","Missouri",2013,57,45946,"Missouri",4,7.521,9.65,11.093,13.329,-10,NA,NA,NA,NA
"Alijah Martin","Florida",2025,39,4702656,"Florida",4,10.158,9.65,11.093,13.329,-1.61,NA,NA,NA,NA
"Alize Johnson","Missouri State",2018,50,4067045,"Missouri State",3,14.171,12.728,11.093,NA,-2.66,-2.06,-0.87,-2.56,-2.23
